Hotel Name,Price,Rating
Five Palms,US$491,Very Good
Milele Villas,"US$1,235",Excellent
The Nest Kite Beach Resort,"US$1,600",Excellent
Kiwengwa Beach Resort,"US$1,800",Excellent
Mizingani Seafront Hotel,US$466,Excellent
Villa Dida Resort,US$600,Excellent
Reef &amp; Beach Resort Jambiani,US$618,Good
Spice Island Hotel &amp; Resort,US$880,Very Good
Sharazad Oasis Retreat,"US$1,390",Wonderful
Antonio Beach Hotel &amp; Spa,US$368,Excellent
Nest Style Beach Hotel Zanzibar,US$508,Wonderful
Zanzibar White Sand Luxury Villas &amp; Spa - Relais &amp; Chateaux,"US$5,200",Exceptional
Mchanga Zanzibar,US$400,Very Good
Waikiki Resort Zanzibar,US$315,Very Good
Pongwe Beach Hotel,"US$1,250",Wonderful
Moonshine Villa Hotel,US$600,Wonderful
Zanzibar Bay Resort,US$700,Good
SeVi Boutique Hotel,"US$1,271",Wonderful
Villa Serenity,"US$1,250",Excellent
The Sands Beach Resort,"US$1,105",Wonderful
Moonshine Uroa Boutique Hotel,US$332,Very Good
Karafuu Beach Resort &amp; Spa,US$795,Very Good
Mermaids Cove Beach Resort &amp; Spa,US$463,Good
Indigo Beach Zanzibar,US$660,Very Good
Samaki Lodge &amp; Spa,US$320,Excellent
